stock_id,stock_name,symbol,sector,overall_score,verdict,return_pct,Revenue Growth_raw,Revenue Growth_score,EBITDA Growth_raw,EBITDA Growth_score,Earnings (PBT-OI)_raw,Earnings (PBT-OI)_score,ROE_raw,ROE_score,OCF/EBITDA CAGR_raw,OCF/EBITDA CAGR_score,Gross Block_raw,Gross Block_score,Debt/EBITDA_raw,Debt/EBITDA_score,PE vs 5Y_raw,PE vs 5Y_score,PB vs 5Y_raw,PB vs 5Y_score,EV vs 5Y_raw,EV vs 5Y_score,Revenue Multiplier_raw,Revenue Multiplier_score,EBITDA Multiplier_raw,EBITDA Multiplier_score,20-DMA_raw,20-DMA_score,50-DMA_raw,50-DMA_score,200-DMA_raw,200-DMA_score,RSI_raw,RSI_score,VPT_raw,VPT_score
151,"Eicher Motors Ltd",EICHERMOT,"Automobile",64.61,HOLD,52.64,16.6030,95,14.7105,80,24.5260,100,14.5884,75,-18.2551,10,3.6537,45,-2.2362,100,112.8816,75,116.4668,75,122.7878,75,0.4580,40,0.4450,40,-2.2400,20,-3.4100,20,-1.8300,20,40.6300,70,603.1700,10
1016,"Titan Company Ltd",TITAN,"Diamond, Gems and Jewellery",64.52,HOLD,28.43,32.1080,100,87.3007,100,155.3232,100,18.6852,85,NA,EXCLUDED,-0.4117,EXCLUDED,1.3075,80,78.4329,90,109.4373,80,89.0013,85,0.5260,50,-0.0660,10,-1.0900,20,-2.4300,20,-2.3400,20,44.1900,70,828.3200,30
8029,"TVS Motor Company Ltd",TVSMOTOR,"Automobile",62.97,HOLD,107.92,23.9878,100,35.5253,100,50.5440,100,17.2731,85,-56.8503,10,9.7099,70,0.6859,95,147.3130,60,163.6838,50,151.8426,60,0.6120,50,0.7580,60,-0.7400,30,0.8100,30,10.2700,100,49.2700,70,1420.7300,30
227,"Grasim Industries Ltd",GRASIM,"Textiles",62.63,HOLD,45.08,14.4456,80,24.3003,100,61.0101,100,3.7162,35,-44.1168,10,35.5068,100,-0.1856,100,89.9150,85,150.8895,60,115.3584,75,0.9990,65,-4.7900,10,-0.6000,30,-2.5300,20,-2.7100,20,44.1200,70,552.4600,30
175,"Nestle India Ltd",NESTLEIND,"FMCG",62.53,HOLD,18.68,12.2271,80,6.7368,60,8.7655,70,106.1612,100,-1.0587,30,1.6372,45,-0.2390,100,88.0694,85,83.4396,85,95.6423,80,0.2070,20,-0.0320,10,-2.1600,20,-3.8400,20,-3.5800,20,34.2700,30,417.6400,10
21281,"Adani Ports & Special Economic Zone Ltd",ADANIPORTS,"Marine Port & Services",62.48,HOLD,56.2,-8.6446,20,-28.6703,EXCLUDED,NA,EXCLUDED,4.7064,35,38.8230,100,-2.3691,EXCLUDED,8.9334,25,692.4559,50,78.6831,90,116.2295,75,NA,EXCLUDED,NA,EXCLUDED,13.7400,100,3.2700,70,-9.2500,-10,63.3900,100,296.0400,30
2298,"Bharat Electronics Ltd",BEL,"Aerospace & Defence",61.69,HOLD,156.91,9.5661,70,7.1241,60,4.1122,60,19.8610,85,-23.8864,10,4.1354,45,-3.8688,100,167.1458,50,169.6740,50,267.0423,50,1.7970,100,6.3750,100,-0.0600,30,-1.7500,20,1.4200,70,48.6900,70,1102.4700,20
24951,"UltraTech Cement Ltd",ULTRACEMCO,"Cement",61.50,HOLD,40.36,16.5956,95,-1.7465,EXCLUDED,8.0747,70,13.7905,75,-23.5939,10,0.2474,45,0.4753,95,93.6213,85,100.1075,80,107.5677,80,0.2020,20,NA,EXCLUDED,0.0900,30,1.3100,70,5.9100,100,51.6500,100,469.8400,30
6890,"DLF Ltd",DLF,"Realty",61.46,HOLD,76.42,3.9649,50,16.4340,95,29.5335,100,4.4865,35,79.8906,100,-11.0466,EXCLUDED,1.3195,80,95.4582,80,106.4942,80,98.5996,80,-2.7380,10,-5.4080,10,1.0200,70,-1.0300,20,-2.2300,20,51.7400,100,915.8700,20
218,"Ambuja Cements Ltd",AMBUJACEM,"Cement",61.42,HOLD,18.66,21.4270,100,15.8262,95,22.7352,100,9.3049,55,-17.9587,10,29.3236,100,-1.1432,100,119.0601,75,123.3604,75,119.7339,75,0.0650,10,-2.0150,10,6.6400,100,-5.9700,-10,-12.0700,-10,53.8500,100,216.7200,30
12030,"Hindustan Aeronautics Ltd",HAL,"Aerospace & Defence",61.40,HOLD,129.43,10.1819,70,12.4305,80,8.3001,70,25.2267,100,-40.9543,10,-1.9213,EXCLUDED,-4.0031,100,171.0826,50,191.9892,50,NA,EXCLUDED,0.8390,60,1.9180,100,4.6800,70,6.0900,100,17.5200,100,63.5200,100,1201.6200,30
476,"Reliance Industries Ltd",RELIANCE,"Refineries",60.83,HOLD,10.83,67.9847,100,36.9779,100,165.5640,100,7.4976,55,NA,EXCLUDED,-20.0318,EXCLUDED,1.4719,80,94.3588,85,104.3027,80,86.1175,85,0.0080,10,-0.9210,10,0.3700,30,-1.5600,20,-3.9800,20,49.7500,70,585.6800,30
301,"ITC Ltd",ITC,"Tobacco Products",60.28,HOLD,8.47,20.9190,100,14.6491,80,23.9079,100,23.5490,95,12.3709,80,4.8844,45,-0.8774,100,151.7869,60,160.1406,50,157.6265,60,0.3780,30,0.0090,10,2.2400,70,6.0600,100,18.1000,100,62.2600,100,386.5600,30
