Label,Value,Decimals,UnitId,Description,ContextName,From,To
NumberOfShareUnderSubCategoryOne,0,0,shares,Number of share under sub category one,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryTwo,0,0,shares,Number of share under sub category two,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryThree,0,0,shares,Number of share under sub category three,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareholders,22,0,pure,Number of shareholders,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfFullyPaidUpEquityShares,6762909,0,shares,Number of fully paid up equity shares,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShares,6762909,0,shares,Total number of shares,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,6.18,0,pure,Shareholding as a percentage of total number of shares,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,6762909,0,pure,Number of voting rights held by same class of securities,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRights,6762909,0,pure,Number of voting rights,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
PercentageOfTotalVotingRights,6.18,0,pure,Percentage of total voting rights,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfWarrants,4200000,0,shares,Number of warrants,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfConvertibleSecuritiesAndWarrants,4200000,0,shares,Number of convertible securities and warrants,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,9.03,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfTheLockedInShares,2950000,0,shares,Number of the locked-in-shares,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
LockedInSharesAsAPercentageOfTotalNumberOfShares,43.62,0,pure,Locked-in-shares as a percentage of total number of shares,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfEquitySharesHeldInDematerializedForm,6762909,0,shares,Number of equity shares held in dematerialized form,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryOne,0,0,shares,Number of share under sub category one,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryTwo,0,0,shares,Number of share under sub category two,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryThree,0,0,shares,Number of share under sub category three,InstitutionsForeignPortfolioInvestorCatergoryOne_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareholders,4,0,pure,Number of shareholders,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfFullyPaidUpEquityShares,4648601,0,shares,Number of fully paid up equity shares,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShares,4648601,0,shares,Total number of shares,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,4.25,0,pure,Shareholding as a percentage of total number of shares,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,4648601,0,pure,Number of voting rights held by same class of securities,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRights,4648601,0,pure,Number of voting rights,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
PercentageOfTotalVotingRights,4.25,0,pure,Percentage of total voting rights,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfWarrants,0,0,shares,Number of warrants,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfConvertibleSecuritiesAndWarrants,0,0,shares,Number of convertible securities and warrants,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,3.83,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfTheLockedInShares,0,0,shares,Number of the locked-in-shares,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
LockedInSharesAsAPercentageOfTotalNumberOfShares,0.00,0,pure,Locked-in-shares as a percentage of total number of shares,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfEquitySharesHeldInDematerializedForm,4648601,0,shares,Number of equity shares held in dematerialized form,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryOne,0,0,shares,Number of share under sub category one,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryTwo,0,0,shares,Number of share under sub category two,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryThree,0,0,shares,Number of share under sub category three,InstitutionsForeignPortfolioInvestorCatergoryTwo_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareholders,26,0,pure,Number of shareholders,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfFullyPaidUpEquityShares,11411510,0,shares,Number of fully paid up equity shares,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShares,11411510,0,shares,Total number of shares,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,10.43,0,pure,Shareholding as a percentage of total number of shares,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,11411510,0,pure,Number of voting rights held by same class of securities,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRights,11411510,0,pure,Number of voting rights,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
PercentageOfTotalVotingRights,10.43,0,pure,Percentage of total voting rights,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfWarrants,4200000,0,shares,Number of warrants,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfConvertibleSecuritiesAndWarrants,4200000,0,shares,Number of convertible securities and warrants,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,12.86,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfTheLockedInShares,2950000,0,shares,Number of the locked-in-shares,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
LockedInSharesAsAPercentageOfTotalNumberOfShares,25.85,0,pure,Locked-in-shares as a percentage of total number of shares,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfEquitySharesHeldInDematerializedForm,11411510,0,shares,Number of equity shares held in dematerialized form,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryOne,0,0,shares,Number of share under sub category one,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryTwo,0,0,shares,Number of share under sub category two,InstitutionsForeign_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
