sector,stock_count,avg_score,avg_return_pct,winsorized_avg_return_pct,median_return_pct,correlation,best_stock,best_return,worst_stock,worst_return
"Diamond, Gems and Jewellery",61,58.2,-0.25,-0.25,-4.55,0.124,"Starlineps Enterprises Ltd",117.13,"Minal Industries Ltd",-40.61
"Retail",55,58.44,-6.64,-7.44,-23.57,-0.118,"Bizotic Commercial Ltd",244.06,"Retro Green Revolution Ltd",-63
"Construction",47,50.67,-7.13,-7.13,-8.99,-0.066,"Avishkar Infra Realty Ltd",154.89,"Yogi Infra Projects Ltd",-65.33
"Castings, Forgings & Fastners",46,63.94,10.79,4.47,-4.78,0.214,"Carnation Industries Ltd",490.46,"Hilton Metal Forging Ltd",-61.07
"Logistics",45,58.49,-10.44,-10.44,-15.77,0.207,"Autoriders International Ltd",122.13,"Arshiya Ltd",-47.1
"Stock/ Commodity Brokers",36,42.62,-14.45,-14.45,-18.03,0.063,"Indo Thai Securities Ltd",58.81,"KBS India Ltd",-58.28
"Sugar",35,53.48,-13.9,-13.9,-22.94,-0.362,"Oswal Overseas Ltd",180.44,"Prudential Sugar Corporation Ltd",-54.28
"Paper",33,59.1,-3.37,-4.14,-12.45,-0.22,"Shree Krishna Paper Mills & Industries Ltd",225.27,"Astron Paper & Board Mill Ltd",-71.37
"Diversified",33,54.4,-10.77,-13.33,-19.68,-0.18,"Arunis Abode Ltd",284.48,"Ashima Ltd",-41.31
"Power Generation & Distribution",32,50.64,-4.94,-4.94,-10.66,0.206,"Ujaas Energy Ltd",76.54,"Reliance Power Ltd",-47.8
