stock_id,stock_name,symbol,sector,mcap_type,industry,financial_score,qm_score,technical_score,start_price,end_price,return_pct
76035,"Wherrelz IT Solutions Ltd",543436,"IT - Software",Small Cap,"Computers - Software - Medium / Small",35.75,0.00,66.00,230.8,202,-12.48
76054,"Jeena Sikho Lifecare Ltd",JSLL,"Pharmaceuticals",Small Cap,"Trading - Medium / Small",86.50,0.00,0.00,719.2,644.85,-10.34
76244,"Revathi Equipment India Ltd",RVTH,"Engineering",Small Cap,"Engineering - Light - General - Medium / Small",89.00,0.00,2.00,867,635,-26.76
76250,"Suraksha Diagnostic Ltd",SURAKSHA,"Healthcare",Small Cap,"Diagnostic Services",76.00,0.00,0.00,314.2,281.25,-10.49
76395,"Sanathan Textiles Ltd",SANATHAN,"Textiles",Small Cap,"Textiles - Spinning/Cotton/Blended Yarn - Ring Spg",43.25,0.00,0.00,508.95,403.5,-20.72
76458,"Krishival Foods Ltd",KRISHIVAL,"FMCG",Small Cap,"Food - Processing - Others",89.50,0.00,0.00,388,310.25,-20.04
76484,"Borosil Scientific Ltd",BOROSCI,"Glass & Glass Products",Small Cap,"Glass - Containers / Others",83.25,0.00,2.00,139.35,104.35,-25.12
76733,"Baazar Style Retail Ltd",STYLEBAAZA,"Retail",Small Cap,"Trading - Medium / Small",51.75,0.00,80.00,314.55,317.65,0.99
76751,"Premier Energies Ltd",PREMIERENE,"Trading",Small Cap,"Trading - Medium / Small",56.50,0.00,25.00,1008.3,729.05,-27.7
77048,"OCCL Ltd",OCCLLTD,"Chemicals",Small Cap,"Chemicals - Inorganic - Medium / Small",19.25,0.00,62.50,135.65,89.73,-33.85
77163,"Concord Enviro Systems Ltd",CEWATER,"Capital Goods-Non Electrical Equipment",Small Cap,"Pollution Control Equipment",30.25,0.00,0.00,548.4,316.05,-42.37
77648,"Bluestone Jewellery & Lifestyle Ltd",BLUESTONE,"Diamond, Gems and Jewellery",Small Cap,"Diamond Cutting / Jewellery - Medium / Small",26.00,0.00,0.00,545.55,421.8,-22.68
77757,"Manoj Jewellers Ltd",544400,"Diamond, Gems and Jewellery",Small Cap,"Diamond Cutting / Jewellery - Medium / Small",80.75,0.00,0.00,53.3,44,-17.45
77804,"AWFIS Space Solutions Ltd",AWFIS,"Co-Working",Small Cap,"Miscellaneous - Medium / Small",64.25,0.00,12.00,576.1,298.2,-48.24
77860,"Naturewings Holidays Ltd",544245,"Miscellaneous",Small Cap,"Travel Agencies",75.00,0.00,0.00,81.7,79.6,-2.57
