sector,stock_name,symbol,overall_score,return_pct,score_rank,return_rank,rank_deviation,rank_deviation_pct,bucket
"Diamond, Gems and Jewellery","Golkunda Diamonds & Jewellery Ltd",523676,62.96,71.05,21,4,17,27.87,"Rest"
"Diamond, Gems and Jewellery","Koura Fine Diamond Jewelry Ltd",544139,62.69,-4.21,22,30,8,13.11,"Within 25%"
"Diamond, Gems and Jewellery","Asian Star Company Ltd",531847,62.51,-15.16,23,37,14,22.95,"Within 25%"
"Diamond, Gems and Jewellery","Gautam Gems Ltd",540936,62.32,-26.56,24,53,29,47.54,"Rest"
"Diamond, Gems and Jewellery","Radhika Jeweltech Ltd",RADHIKAJWE,62.18,-32.85,25,57,32,52.46,"Rest"
"Diamond, Gems and Jewellery","Bhakti Gems & Jewellery Ltd",540545,61.54,90.20,26,2,24,39.34,"Rest"
"Diamond, Gems and Jewellery","Mini Diamonds (India) Ltd",523373,60.60,-37.00,27,59,32,52.46,"Rest"
"Diamond, Gems and Jewellery","Sky Gold & Diamonds Ltd",SKYGOLD,60.52,18.88,28,10,18,29.51,"Rest"
"Diamond, Gems and Jewellery","Thangamayil Jewellery Ltd",THANGAMAYL,59.52,81.13,29,3,26,42.62,"Rest"
"Diamond, Gems and Jewellery","Mishka Exim Ltd",539220,59.10,13.85,30,14,16,26.23,"Rest"
"Diamond, Gems and Jewellery","Tribhovandas Bhimji Zaveri Ltd",TBZ,58.46,-22.29,31,47,16,26.23,"Rest"
"Diamond, Gems and Jewellery","Shoora Designs Ltd",543970,57.76,-20.03,32,42,10,16.39,"Within 25%"
"Diamond, Gems and Jewellery","Atlas Jewellery India Ltd",514394,57.46,0.00,33,24.5,8.5,13.93,"Within 25%"
"Diamond, Gems and Jewellery","Orosil Smiths India Ltd",531626,56.68,-0.22,34,26,8,13.11,"Within 25%"
"Diamond, Gems and Jewellery","Kalyan Jewellers India Ltd",KALYANKJIL,56.64,-20.67,35,44,9,14.75,"Within 25%"
"Diamond, Gems and Jewellery","Viram Suvarn Ltd",540252,56.51,10.35,36,17,19,31.15,"Rest"
