stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
5807,"Indian Metals & Ferro Alloys Ltd",IMFA,"Ferro Alloys",Small Cap,64.37,HOLD,82.50,50.00,0.00,79.00,865.3,1268.65,46.61,50.27
20948,"Jeevan Scientific Technology Ltd",538837,"Healthcare",Small Cap,64.36,HOLD,49.75,81.00,0.00,20.00,40.26,66.35,64.8,68.46
654,"Garware Marine Industries Ltd",509563,"Ship Building",Small Cap,64.35,HOLD,66.25,58.00,0.00,97.00,32.72,23.31,-28.76,-25.1
29301,"Rane Engine Valve Ltd",RANEENGINE,"Auto Ancillaries",Small Cap,64.35,HOLD,49.25,79.29,55.00,57.00,318,318,0,3.66
85,"Bombay Dyeing & Manufacturing Company Ltd",BOMDYEING,"Textiles",Small Cap,64.34,HOLD,52.00,69.50,0.00,84.00,178.55,113.3,-36.54,-32.88
2039,"Donear Industries Ltd",DONEAR,"Textiles",Small Cap,64.34,HOLD,54.75,79.50,0.00,8.00,96.85,90,-7.07,-3.41
3624,"Automotive Stampings & Assemblies Ltd",ASAL,"Auto Ancillaries",Small Cap,64.33,HOLD,55.00,79.00,0.00,10.00,492.35,457.4,-7.1,-3.44
37716,"Techno Electric & Engineering Company Ltd",TECHNOE,"Infrastructure Developers & Operators",Small Cap,64.32,HOLD,80.75,50.00,0.00,86.00,1544.05,1157.6,-25.03,-21.37
25537,"Entertainment Network (India) Ltd",ENIL,"Entertainment",Small Cap,64.31,HOLD,46.00,81.00,0.00,35.50,157.15,105.5,-32.87,-29.21
25991,"Skipper Ltd",SKIPPER,"Engineering",Small Cap,64.28,HOLD,75.75,54.50,0.00,78.00,539.15,365.9,-32.13,-28.47
77239,"Gopal Snacks Ltd",GOPAL,"FMCG",Small Cap,64.28,HOLD,59.00,64.50,0.00,85.50,363.45,307.95,-15.27,-11.61
3606,"Kriti Industries (India) Ltd",KRITI,"Plastic products",Small Cap,64.27,HOLD,78.25,63.00,0.00,12.50,143,85.3,-40.35,-36.69
33444,"Kirloskar Oil Engines Ltd",KIRLOSENG,"Capital Goods-Non Electrical Equipment",Small Cap,64.27,HOLD,82.00,50.00,0.00,80.00,947.45,1404.35,48.22,51.88
36162,"RPP Infra Projects Ltd",RPPINFRA,"Infrastructure Developers & Operators",Small Cap,64.25,HOLD,79.25,63.00,0.00,8.00,114.45,77.55,-32.24,-28.58
43,"Atul Ltd",ATUL,"Chemicals",Small Cap,64.24,HOLD,40.75,86.00,0.00,25.00,6503,6539.4,0.56,4.22
2159,"India Gelatine & Chemicals Ltd",531253,"Chemicals",Small Cap,64.24,HOLD,77.25,63.00,0.00,16.50,347.25,324.5,-6.55,-2.89
45107,"Narayana Hrudayalaya Ltd",NH,"Healthcare",Mid Cap,64.24,HOLD,63.75,66.00,0.00,55.00,1813.45,1862.75,2.72,6.38
15228,"Sun TV Network Ltd",SUNTV,"Entertainment",Small Cap,64.23,HOLD,49.75,81.00,0.00,18.50,572.75,603.75,5.41,9.07
6038,"Diligent Industries Ltd",531153,"Edible Oil",Small Cap,64.19,HOLD,49.50,69.50,0.00,93.00,3,2.27,-24.33,-20.67
6742,"Shukra Bullions Ltd",531506,"Diamond, Gems and Jewellery",Small Cap,64.18,HOLD,44.50,75.00,0.00,79.00,26.77,29.66,10.8,14.46
34162,"V-Mart Retail Ltd",VMART,"Retail",Small Cap,64.17,HOLD,42.75,87.50,0.00,6.00,746.95,570.9,-23.57,-19.91
24061,"T.V. Today Network Ltd",TVTODAY,"Media - Print/Television/Radio",Small Cap,64.16,HOLD,37.75,90.50,0.00,8.00,147.6,126.15,-14.53,-10.87
76723,"Kaynes Technology India Ltd",KAYNES,"Consumer Durables",Small Cap,64.16,HOLD,82.75,50.00,0.00,75.50,6205.4,3908.65,-37.01,-33.35
74075,"Evans Electric Ltd",542668,"Miscellaneous",Small Cap,64.15,HOLD,82.75,54.50,0.00,46.50,169.95,108.6,-36.1,-32.44
45928,"Atishay Ltd",538713,"IT - Software",Small Cap,64.14,HOLD,72.75,65.50,0.00,18.50,128,181.2,41.56,45.22
76442,"Dharmaj Crop Guard Ltd",DHARMAJ,"Agro Chemicals",Small Cap,64.09,HOLD,81.75,50.00,0.00,79.00,372.65,240.85,-35.37,-31.71
3410,"Duropack Ltd",526355,"Packaging",Small Cap,64.08,HOLD,71.75,61.00,0.00,51.00,83.7,53.51,-36.07,-32.41
892,"Fluidomat Ltd",522017,"Capital Goods-Non Electrical Equipment",Small Cap,64.07,HOLD,94.75,50.00,0.00,23.00,964.45,580.05,-39.86,-36.2
3430,"Olympia Industries Ltd",521105,"E-Commerce/App based Aggregator",Small Cap,64.06,HOLD,37.00,89.50,0.00,16.50,38.06,31.88,-16.24,-12.58
3511,"Kirloskar Ferrous Industries Ltd",KIRLFER,"Steel",Small Cap,64.05,HOLD,75.50,62.50,0.00,25.00,549.7,414.25,-24.64,-20.98
3427,"Frontier Springs Ltd",522195,"Auto Ancillaries",Small Cap,64.04,HOLD,83.25,50.00,0.00,72.00,4961.35,4311.9,-13.09,-9.43
5016,"Vinyoflex Ltd",530401,"Plastic products",Small Cap,64.04,HOLD,54.75,69.00,0.00,72.00,70.51,50.38,-28.55,-24.89
3450,"Igarashi Motors India Ltd",IGARASHI,"Capital Goods - Electrical Equipment",Small Cap,64.01,HOLD,63.50,74.00,0.00,2.00,497.9,355.95,-28.51,-24.85
40414,"Hemant Surgical Industries Ltd",543916,"Healthcare",Small Cap,64.01,HOLD,81.75,50.00,0.00,78.00,279.45,293.85,5.15,8.81
90914,"Epack Durable Ltd",EPACK,"Consumer Durables",Small Cap,63.98,HOLD,71.75,57.00,0.00,75.50,385,248.5,-35.45,-31.79
26310,"Rajputana Investment & Finance Ltd",539090,"Trading",Small Cap,63.96,HOLD,46.75,72.00,0.00,86.00,44.24,34,-23.15,-19.49
15196,"Nelcast Ltd",NELCAST,"Castings, Forgings & Fastners",Small Cap,63.95,HOLD,71.75,57.50,0.00,72.00,163.8,116.95,-28.6,-24.94
23012,"Amraworld Agrico Ltd",531991,"Trading",Small Cap,63.92,HOLD,54.25,80.00,0.00,2.00,0.92,0.59,-35.87,-32.21
28611,"Bafna Pharmaceuticals Ltd",BAFNAPH,"Pharmaceuticals",Small Cap,63.90,HOLD,50.50,72.50,0.00,66.00,95.43,106.6,11.7,15.36
1938,"Motor & General Finance Ltd",MOTOGENFIN,"Realty",Small Cap,63.89,HOLD,46.00,80.00,0.00,37.00,27.26,20.74,-23.92,-20.26
1105,"India Glycols Ltd",INDIAGLYCO,"Alcoholic Beverages",Small Cap,63.88,HOLD,79.00,53.00,0.00,69.00,854.05,927.55,8.61,12.27
37926,"Enkei Wheels India Ltd",533477,"Auto Ancillaries",Small Cap,63.88,HOLD,42.25,87.00,0.00,8.00,477.55,448.7,-6.04,-2.38
54769,"Intellect Design Arena Ltd",INTELLECT,"IT - Software",Small Cap,63.88,HOLD,51.75,73.50,0.00,54.00,968.1,687.8,-28.95,-25.29
3497,"Pitti Engineering Ltd",PITTIENG,"Capital Goods-Non Electrical Equipment",Small Cap,63.87,HOLD,95.25,50.00,0.00,18.50,949.1,884.2,-6.84,-3.18
